strategy,entry_datetime,exit_datetime,direction,lot_size,entry_price,exit_price,pnl_usd,pnl_points,exit_reason,duration_min,mfe_usd,mae_usd
NY_ORB,2025-12-10 15:00:00+00:00,2025-12-10 16:25:00+00:00,SELL,1.83,4195.835,4200.495,-852.78,-4.66,TIME,85.0,1315.77,-916.83
NY_ORB,2025-12-11 14:45:00+00:00,2025-12-11 15:20:00+00:00,BUY,1.06,4220.785,4244.004999999999,2461.32,23.22,TP,35.0,2489.94,0.0
ASIAN_MR,2025-12-12 01:05:00+00:00,2025-12-12 01:10:00+00:00,LONG,4.64,4269.225,4274.6379,2372.39,5.112899999999354,TP_Z_NEUTRAL,5.0,2830.4,-143.84
NY_ORB,2025-12-12 14:35:00+00:00,2025-12-12 14:50:00+00:00,SELL,1.26,4335.835,4345.935,-1272.6,-10.1,SL,15.0,0.0,-1814.72
ASIAN_MR,2025-12-15 01:05:00+00:00,2025-12-15 01:30:00+00:00,SHORT,4.37,4310.175,4316.030710406466,-2690.05,-6.155710406465732,SL_ATR,25.0,1782.96,-3238.17
NY_ORB,2025-12-15 13:45:00+00:00,2025-12-15 13:55:00+00:00,BUY,1.99,4341.655,4335.405,-1243.75,-6.25,SL,10.0,519.39,-2240.13
ASIAN_MR,2025-12-16 01:35:00+00:00,2025-12-16 01:50:00+00:00,SHORT,4.54,4314.225,4308.1,2644.55,5.825,TP_Z_NEUTRAL,15.0,2351.72,-794.5
ASIAN_MR,2025-12-17 01:35:00+00:00,2025-12-17 01:55:00+00:00,SHORT,5.56,4321.525,4326.089712451118,-2704.78,-4.864712451118794,SL_ATR,20.0,522.64,-2763.32
NY_ORB,2025-12-17 13:45:00+00:00,2025-12-17 14:10:00+00:00,BUY,1.06,4339.115,4327.865,-1192.5,-11.25,SL,25.0,711.26,-1309.1
ASIAN_MR,2025-12-18 01:05:00+00:00,2025-12-18 01:15:00+00:00,LONG,5.09,4332.065,4327.359938908179,-2547.58,-5.0050610918204255,SL_ATR,10.0,274.86,-2651.89
NY_ORB,2025-12-18 14:30:00+00:00,2025-12-18 14:40:00+00:00,BUY,0.73,4338.155,4320.455,-1292.1,-17.7,SL,10.0,0.0,-1967.35
ASIAN_MR,2025-12-19 01:05:00+00:00,2025-12-19 01:20:00+00:00,LONG,2.61,4324.618,4320.112415061287,-1254.26,-4.805584938713582,SL_ATR,15.0,962.31,-2096.61
NY_ORB,2025-12-19 14:45:00+00:00,2025-12-19 15:00:00+00:00,SELL,0.86,4328.565,4335.155,-566.74,-6.59,SL,15.0,404.2,-927.08
ASIAN_MR,2025-12-22 03:50:00+00:00,2025-12-22 04:50:00+00:00,SHORT,2.28,4394.155,4397.975,-939.36,-4.120000000000618,TIME_STOP_60M,60.0,731.2,-1513.92
NY_ORB,2025-12-22 14:30:00+00:00,2025-12-22 14:45:00+00:00,SELL,0.71,4418.045,4426.365,-590.72,-8.32,SL,15.0,166.85,-800.88
NY_ORB,2025-12-23 13:50:00+00:00,2025-12-23 14:05:00+00:00,SELL,0.7,4484.265,4468.045000000001,1135.4,16.22,TP,15.0,2090.69,0.0
ASIAN_MR,2025-12-24 01:25:00+00:00,2025-12-24 01:55:00+00:00,SHORT,2.56,4521.305,4513.5421,1910.5,7.462900000000627,TP_Z_NEUTRAL,30.0,829.44,-509.44
NY_ORB,2025-12-24 14:30:00+00:00,2025-12-24 14:35:00+00:00,BUY,1.3,4485.895,4477.355,-1110.2,-8.54,SL,5.0,360.1,-2020.2
ASIAN_MR,2025-12-26 03:15:00+00:00,2025-12-26 03:25:00+00:00,SHORT,2.86,4510.655,4504.1868,1764.11,6.168199999999342,TP_Z_NEUTRAL,10.0,2372.94,-383.24
NY_ORB,2025-12-26 16:10:00+00:00,2025-12-26 16:25:00+00:00,BUY,1.02,4528.155,4545.405,1759.5,17.25,TIME,15.0,1903.32,0.0
NY_ORB,2025-12-29 13:45:00+00:00,2025-12-29 14:30:00+00:00,SELL,0.44,4424.985,4365.944999999999,2597.76,59.04,TP,45.0,2600.4,0.0
ASIAN_MR,2025-12-30 02:00:00+00:00,2025-12-30 03:00:00+00:00,SHORT,2.41,4356.945,4361.055,-1062.81,-4.410000000000582,TIME_STOP_60M,60.0,2011.63,-1949.69
NY_ORB,2025-12-30 14:45:00+00:00,2025-12-30 16:25:00+00:00,SELL,0.75,4375.905,4368.505,555.0,7.4,TIME,100.0,1599.0,-100.5
NY_ORB,2025-12-31 14:30:00+00:00,2025-12-31 16:05:00+00:00,BUY,1.35,4334.635,4325.345,-1254.15,-9.29,SL,95.0,2485.8,-1331.1
ASIAN_MR,2026-01-02 03:15:00+00:00,2026-01-02 03:30:00+00:00,SHORT,1.93,4366.395,4372.616548670178,-1258.66,-6.521548670177981,SL_ATR,15.0,154.4,-1245.43
NY_ORB,2026-01-02 14:30:00+00:00,2026-01-02 15:00:00+00:00,SELL,0.51,4365.545,4342.5650000000005,1171.98,22.98,TP,30.0,1200.03,0.0
ASIAN_MR,2026-01-05 03:05:00+00:00,2026-01-05 03:30:00+00:00,SHORT,2.38,4409.855,4400.918299999999,2055.53,8.6367000000002,TP_Z_NEUTRAL,25.0,1594.6,-783.02
NY_ORB,2026-01-05 15:00:00+00:00,2026-01-05 15:05:00+00:00,BUY,0.6,4414.055,4450.075000000001,2161.2,36.02,TP,5.0,2482.2,0.0
ASIAN_MR,2026-01-06 02:15:00+00:00,2026-01-06 03:10:00+00:00,SHORT,3.38,4457.698,4465.2338891520585,-2648.53,-7.835889152058189,SL_ATR,55.0,3144.41,-2577.93
NY_ORB,2026-01-06 13:50:00+00:00,2026-01-06 14:30:00+00:00,BUY,1.8,4461.875,4475.295,2415.6,13.42,TP,40.0,3037.2,0.0
ASIAN_MR,2026-01-07 04:20:00+00:00,2026-01-07 05:05:00+00:00,LONG,3.99,4468.815,4462.851960818902,-2498.95,-6.263039181097883,SL_ATR,45.0,754.11,-2840.88
NY_ORB,2026-01-07 14:35:00+00:00,2026-01-07 15:00:00+00:00,BUY,0.9,4450.545,4437.995,-1129.5,-12.55,SL,25.0,207.3,-1154.7
ASIAN_MR,2026-01-09 02:05:00+00:00,2026-01-09 02:50:00+00:00,SHORT,1.79,4473.935,4463.08595,1888.28,10.549050000000715,TP_Z_NEUTRAL,45.0,1523.29,-252.93
NY_ORB,2026-01-09 15:20:00+00:00,2026-01-09 16:25:00+00:00,BUY,0.3,4491.595,4503.248,349.65,11.653,TIME,65.0,759.15,0.0
ASIAN_MR,2026-01-12 04:05:00+00:00,2026-01-12 04:45:00+00:00,LONG,3.03,4567.935,4574.8955000000005,2018.13,6.660500000000138,TP_Z_NEUTRAL,40.0,1230.18,-1459.55
NY_ORB,2026-01-12 14:00:00+00:00,2026-01-12 14:05:00+00:00,BUY,1.39,4613.095,4604.469,-1198.95,-8.626,SL,5.0,0.0,-2180.91
NY_ORB,2026-01-13 15:00:00+00:00,2026-01-13 16:25:00+00:00,BUY,0.61,4620.105,4599.905,-1232.2,-20.2,SL,85.0,253.76,-1667.13
ASIAN_MR,2026-01-14 03:40:00+00:00,2026-01-14 03:55:00+00:00,SHORT,4.23,4623.848,4629.7211674896225,-2611.25,-6.173167489622574,SL_ATR,15.0,407.35,-2545.19
NY_ORB,2026-01-14 14:35:00+00:00,2026-01-14 16:25:00+00:00,SELL,0.89,4623.645,4621.555,186.01,2.09,TIME,110.0,2178.72,-246.53
ASIAN_MR,2026-01-15 01:25:00+00:00,2026-01-15 01:30:00+00:00,LONG,2.67,4600.395,4591.666360778582,-2410.65,-9.028639221418235,SL_ATR,5.0,82.77,-4587.06
NY_ORB,2026-01-15 14:00:00+00:00,2026-01-15 14:20:00+00:00,SELL,0.73,4587.935,4605.095,-1252.68,-17.16,SL,20.0,0.0,-1289.18
ASIAN_MR,2026-01-16 02:40:00+00:00,2026-01-16 03:05:00+00:00,LONG,1.72,4595.748,4601.3358,909.5,5.287800000000243,TP_Z_NEUTRAL,25.0,546.44,-697.12
NY_ORB,2026-01-16 15:15:00+00:00,2026-01-16 15:25:00+00:00,BUY,0.72,4601.045,4584.885,-1163.52,-16.16,SL,10.0,714.24,-2646.0
ASIAN_MR,2026-01-20 01:10:00+00:00,2026-01-20 01:35:00+00:00,SHORT,4.01,4670.075,4675.7502440654225,-2396.07,-5.975244065422703,SL_ATR,25.0,1700.24,-2329.81
NY_ORB,2026-01-20 14:00:00+00:00,2026-01-20 16:25:00+00:00,BUY,0.7,4730.175,4740.905,751.1,10.73,TIME,145.0,1446.2,-570.22
NY_ORB,2026-01-21 14:00:00+00:00,2026-01-21 14:05:00+00:00,BUY,0.99,4878.925,4866.768,-1203.56,-12.157,SL,5.0,0.0,-3760.73
NY_ORB,2026-01-22 14:30:00+00:00,2026-01-22 15:30:00+00:00,BUY,0.35,4826.988,4859.534000000001,1139.11,32.546,TP,60.0,1320.83,-57.05
ASIAN_MR,2026-01-23 03:20:00+00:00,2026-01-23 03:30:00+00:00,LONG,2.26,4943.155,4953.604649999999,2293.82,10.149649999999564,TP_Z_NEUTRAL,10.0,1726.64,-1200.06
NY_ORB,2026-01-23 14:30:00+00:00,2026-01-23 15:45:00+00:00,BUY,1.01,4938.998,4962.843999999999,2408.42,23.846,TP,75.0,2450.98,-104.32
ASIAN_MR,2026-01-26 01:35:00+00:00,2026-01-26 02:05:00+00:00,SHORT,1.76,5076.165,5051.2605,4330.39,24.604499999999643,TP_Z_NEUTRAL,30.0,1531.2,-1497.76
NY_ORB,2026-01-26 16:25:00+00:00,2026-01-26 16:25:00+00:00,BUY,0.61,5072.775,5075.365,157.99,2.59,TIME,5.0,1473.15,-162.87
ASIAN_MR,2026-01-27 02:45:00+00:00,2026-01-27 02:50:00+00:00,SHORT,1.83,5077.045,5066.4915,1876.39,10.253499999999985,TP_Z_NEUTRAL,5.0,2168.55,-197.64
NY_ORB,2026-01-27 14:10:00+00:00,2026-01-27 15:35:00+00:00,SELL,0.77,5069.435,5085.785,-1258.95,-16.35,SL,85.0,1768.69,-1343.65
ASIAN_MR,2026-01-28 01:10:00+00:00,2026-01-28 01:40:00+00:00,SHORT,1.53,5190.665,5205.490411115714,-2314.19,-15.125411115713906,SL_ATR,30.0,1416.78,-3783.69
NY_ORB,2026-01-28 15:05:00+00:00,2026-01-28 15:10:00+00:00,BUY,0.45,5285.205,5259.045,-1177.2,-26.16,SL,5.0,0.0,-1955.25
NY_ORB,2026-01-29 14:05:00+00:00,2026-01-29 14:45:00+00:00,BUY,0.45,5530.615,5499.625,-1394.55,-30.99,SL,40.0,842.4,-1792.8
ASIAN_MR,2026-01-30 01:15:00+00:00,2026-01-30 01:55:00+00:00,LONG,0.29,5331.798,5295.142049270014,-1071.72,-36.95595072998621,SL_ATR,40.0,1179.34,-1212.14
NY_ORB,2026-01-30 14:30:00+00:00,2026-01-30 15:00:00+00:00,BUY,0.15,5047.398,5009.998,-561.0,-37.4,SL,30.0,944.92,-1003.73
ASIAN_MR,2026-02-03 04:05:00+00:00,2026-02-03 04:55:00+00:00,SHORT,0.44,4815.095,4784.12515,1349.47,30.669850000000405,TP_Z_NEUTRAL,50.0,654.72,-425.48
