strategy,entry_datetime,exit_datetime,direction,lot_size,entry_price,exit_price,pnl_usd,pnl_points,exit_reason,duration_min,mfe_usd,mae_usd
LONDON_ORB,2023-02-17 09:04:00+00:00,2023-02-17 09:34:00+00:00,SELL,10.0,1819.795,1823.968,-4473.16,-4.473,SL,155.0,517.89,-4510.0
NY_ORB,2023-02-17 13:46:00+00:00,2023-02-17 14:30:00+00:00,BUY,10.0,1828.945,1825.595,-3650.0,-3.65,SL,225.0,1320.0,-3620.0
ASIAN_MR,2023-02-20 04:10:00+00:00,2023-02-20 04:20:00+00:00,SHORT,10.0,1843.195,1844.330593510769,-1435.59,-1.435593510769013,SL_ATR,10.0,30.0,-1390.0
LONDON_ORB,2023-02-20 08:17:00+00:00,2023-02-20 11:29:00+00:00,SELL,10.0,1845.208,1844.275,633.06,0.633,TIME,965.0,4213.06,-826.94
NY_ORB,2023-02-20 15:19:00+00:00,2023-02-20 16:29:00+00:00,SELL,10.0,1844.325,1843.125,900.0,0.9,TIME,355.0,2100.0,-330.0
LONDON_ORB,2023-02-21 08:56:00+00:00,2023-02-21 10:55:00+00:00,BUY,10.0,1834.668,1832.325,-2642.94,-2.643,SL,600.0,1977.06,-2412.94
NY_ORB,2023-02-21 14:30:00+00:00,2023-02-21 14:31:00+00:00,BUY,10.0,1836.985,1841.4249999999995,4140.0,4.14,TP,10.0,4590.0,0.0
LONDON_ORB,2023-02-22 08:20:00+00:00,2023-02-22 08:38:00+00:00,SELL,10.0,1838.598,1833.6639999999998,4634.06,4.634,TP,95.0,4963.12,0.0
NY_ORB,2023-02-22 14:45:00+00:00,2023-02-22 14:49:00+00:00,SELL,10.0,1834.938,1837.195,-2556.86,-2.557,SL,25.0,623.14,-2616.86
ASIAN_MR,2023-02-23 01:35:00+00:00,2023-02-23 01:45:00+00:00,SHORT,10.0,1826.535,1827.9604752731846,-1725.48,-1.7254752731844747,SL_ATR,10.0,100.0,-1560.0
NY_ORB,2023-02-23 13:57:00+00:00,2023-02-23 16:29:00+00:00,BUY,10.0,1825.535,1821.115,-4720.0,-4.72,TIME,765.0,4490.0,-7160.0
LONDON_ORB,2023-02-24 09:10:00+00:00,2023-02-24 11:29:00+00:00,BUY,10.0,1821.995,1820.915,-1380.0,-1.38,TIME,700.0,3370.0,-1150.0
LONDON_ORB,2023-02-28 08:16:00+00:00,2023-02-28 08:53:00+00:00,SELL,10.0,1806.975,1810.715,-4040.0,-4.04,SL,190.0,2380.95,-4990.0
NY_ORB,2023-02-28 13:45:00+00:00,2023-02-28 13:57:00+00:00,BUY,10.0,1809.424,1814.056,4332.0,4.332,TP,65.0,4701.14,-776.0
ASIAN_MR,2023-03-01 01:40:00+00:00,2023-03-01 01:50:00+00:00,SHORT,10.0,1826.265,1827.5635780598113,-1598.58,-1.5985780598112342,SL_ATR,10.0,10.0,-2890.0
NY_ORB,2023-03-01 14:55:00+00:00,2023-03-01 14:56:00+00:00,BUY,10.0,1836.895,1843.255,6060.0,6.06,TP,10.0,7390.0,0.0
ASIAN_MR,2023-03-02 01:00:00+00:00,2023-03-02 01:05:00+00:00,LONG,10.0,1835.608,1834.5533364949604,-1354.66,-1.3546635050395708,SL_ATR,5.0,90.0,-1074.0
LONDON_ORB,2023-03-02 08:40:00+00:00,2023-03-02 11:29:00+00:00,BUY,10.0,1832.095,1834.905,2510.0,2.51,TIME,850.0,3190.0,-1756.94
NY_ORB,2023-03-02 14:50:00+00:00,2023-03-02 16:29:00+00:00,BUY,10.0,1834.344,1836.265,1620.95,1.621,TIME,500.0,4520.95,-369.05
ASIAN_MR,2023-03-03 01:10:00+00:00,2023-03-03 01:30:00+00:00,SHORT,10.0,1840.715,1838.7174499999996,1697.55,1.697550000000274,TP_Z_NEUTRAL,20.0,2150.0,-720.0
LONDON_ORB,2023-03-03 09:05:00+00:00,2023-03-03 11:16:00+00:00,BUY,10.0,1844.735,1848.8949999999998,3860.0,3.86,TP,660.0,4280.0,0.0
NY_ORB,2023-03-03 14:18:00+00:00,2023-03-03 14:52:00+00:00,SELL,10.0,1845.855,1842.089,3465.95,3.466,TP,175.0,3980.0,-710.0
NY_ORB,2023-03-06 14:35:00+00:00,2023-03-06 15:05:00+00:00,BUY,10.0,1852.065,1850.155,-2210.0,-2.21,SL,155.0,1653.1,-2450.0
ASIAN_MR,2023-03-07 01:55:00+00:00,2023-03-07 02:05:00+00:00,SHORT,10.0,1847.745,1848.9963158080047,-1551.32,-1.551315808004847,SL_ATR,10.0,600.0,-2030.0
NY_ORB,2023-03-07 14:02:00+00:00,2023-03-07 15:03:00+00:00,SELL,10.0,1833.325,1825.5650000000003,7460.0,7.46,TP,310.0,8460.0,-2110.0
NY_ORB,2023-03-08 14:30:00+00:00,2023-03-08 14:51:00+00:00,BUY,10.0,1815.045,1820.8250000000003,5480.0,5.48,TP,110.0,6420.0,-1720.0
LONDON_ORB,2023-03-09 08:35:00+00:00,2023-03-09 11:25:00+00:00,BUY,10.0,1815.665,1819.8049999999998,3840.0,3.84,TP,855.0,4290.0,-150.0
NY_ORB,2023-03-09 13:59:00+00:00,2023-03-09 16:29:00+00:00,BUY,10.0,1823.828,1827.565,3437.27,3.437,TIME,755.0,11737.27,-182.73
LONDON_ORB,2023-03-10 08:19:00+00:00,2023-03-10 11:29:00+00:00,SELL,10.0,1833.405,1835.905,-2800.0,-2.8,TIME,955.0,2627.14,-3352.86
ASIAN_MR,2023-03-13 02:35:00+00:00,2023-03-13 02:55:00+00:00,SHORT,10.0,1884.045,1887.3633323241975,-3618.33,-3.6183323241973993,SL_ATR,20.0,150.0,-4730.0
LONDON_ORB,2023-03-13 08:50:00+00:00,2023-03-13 09:24:00+00:00,BUY,10.0,1879.355,1887.315,7660.0,7.66,TP,175.0,9000.0,0.0
NY_ORB,2023-03-13 13:59:00+00:00,2023-03-13 14:45:00+00:00,SELL,10.0,1897.758,1909.658,-12200.0,-12.2,SL,235.0,1502.86,-13317.14
ASIAN_MR,2023-03-14 01:45:00+00:00,2023-03-14 02:35:00+00:00,LONG,10.0,1906.358,1904.2941765387845,-2363.82,-2.3638234612154063,SL_ATR,50.0,1450.0,-2400.0
LONDON_ORB,2023-03-14 08:35:00+00:00,2023-03-14 11:29:00+00:00,SELL,10.0,1908.155,1904.048,3806.88,3.807,TIME,875.0,7500.0,0.0
ASIAN_MR,2023-03-15 03:55:00+00:00,2023-03-15 04:40:00+00:00,LONG,10.0,1902.725,1901.633748599005,-1391.25,-1.3912514009949064,SL_ATR,45.0,660.0,-1540.0
LONDON_ORB,2023-03-15 09:41:00+00:00,2023-03-15 11:28:00+00:00,BUY,10.0,1896.675,1912.155,15180.0,15.18,TP,540.0,15810.0,-4570.0
ASIAN_MR,2023-03-16 03:30:00+00:00,2023-03-16 03:45:00+00:00,SHORT,10.0,1912.615,1914.4923048998835,-2177.3,-2.1773048998834836,SL_ATR,15.0,770.0,-2250.0
NY_ORB,2023-03-16 14:53:00+00:00,2023-03-16 16:29:00+00:00,SELL,10.0,1924.355,1917.805,6250.0,6.25,TIME,485.0,11110.0,-1140.0
ASIAN_MR,2023-03-17 02:45:00+00:00,2023-03-17 03:20:00+00:00,SHORT,10.0,1926.928,1928.8464417054258,-2218.44,-2.218441705425721,SL_ATR,35.0,563.0,-2167.0
LONDON_ORB,2023-03-17 11:15:00+00:00,2023-03-17 11:29:00+00:00,BUY,10.0,1931.055,1935.448,4093.04,4.093,TIME,75.0,5993.04,0.0
NY_ORB,2023-03-17 14:30:00+00:00,2023-03-17 14:44:00+00:00,BUY,10.0,1950.115,1961.7749999999999,11360.0,11.36,TP,75.0,11732.86,0.0
ASIAN_MR,2023-03-20 01:05:00+00:00,2023-03-20 01:35:00+00:00,LONG,10.0,1969.485,1975.3103500000002,5525.35,5.525350000000299,TP_Z_NEUTRAL,30.0,3080.0,-1470.0
