entry_datetime,exit_datetime,direction,lot_size,entry_price,exit_price,r_multiple,pnl_usd,pnl_points,exit_reason,duration_min,mfe_usd,mae_usd
2024-09-10 13:55:00+00:00,2024-09-10 15:34:00+00:00,SELL,0.12,2508.265,2514.985,-1.0,-84.24,-7.02,SL,500.0,87.37,-77.28
2024-09-13 13:58:00+00:00,2024-09-13 16:04:00+00:00,SELL,0.11,2576.284,2583.258,-1.0,-80.01,-7.274,SL,635.0,36.37,-74.07
2024-09-16 13:49:00+00:00,2024-09-16 14:07:00+00:00,BUY,0.16,2586.225,2581.115,-1.0,-86.56,-5.41,SL,95.0,47.68,-90.08
2024-09-17 15:30:00+00:00,2024-09-17 15:34:00+00:00,SELL,0.17,2572.955,2563.809,2.0,150.38,8.846,TP,25.0,172.89,0.0
2024-09-18 13:55:00+00:00,2024-09-18 16:29:00+00:00,SELL,0.12,2571.748,2571.665,0.012,-2.6,-0.217,TIME,775.0,46.24,-35.48
2024-09-19 13:45:00+00:00,2024-09-19 14:30:00+00:00,SELL,0.11,2573.798,2581.195,-1.0,-84.67,-7.697,SL,230.0,45.9,-89.61
2024-09-20 13:45:00+00:00,2024-09-20 14:12:00+00:00,SELL,0.11,2604.545,2611.525,-1.0,-80.08,-7.28,SL,140.0,23.1,-75.49
2024-09-23 13:50:00+00:00,2024-09-23 15:07:00+00:00,BUY,0.15,2631.655,2626.215,-1.0,-86.1,-5.74,SL,390.0,45.9,-89.85
2024-09-24 14:45:00+00:00,2024-09-24 14:48:00+00:00,BUY,0.22,2635.845,2643.0449999999996,2.0,151.8,6.9,TP,20.0,163.02,0.0
2024-09-25 13:48:00+00:00,2024-09-25 14:45:00+00:00,BUY,0.15,2665.455,2660.048,-1.0,-85.61,-5.707,SL,290.0,28.35,-81.75
2024-09-27 14:25:00+00:00,2024-09-27 14:58:00+00:00,SELL,0.14,2664.604,2652.7639999999997,2.0,161.56,11.54,TP,170.0,191.1,0.0
2024-09-30 13:45:00+00:00,2024-09-30 16:29:00+00:00,SELL,0.09,2631.755,2636.718,-0.533,-47.37,-5.263,TIME,825.0,28.27,-58.14
2024-10-01 13:50:00+00:00,2024-10-01 16:29:00+00:00,BUY,0.05,2668.185,2664.864,-0.21,-18.1,-3.621,TIME,800.0,17.75,-72.04
